Date,num_farmers_tweets,num_tweets,Likes,Retweets,percent
4/6/2018 0:00,1,6,475764,195897,0.166666667
4/7/2018 0:00,0,16,692130,160786,0
4/8/2018 0:00,0,10,607095,158330,0
4/9/2018 0:00,0,7,427108,108170,0
4/10/2018 0:00,0,10,657663,151065,0
4/11/2018 0:00,0,6,834545,238148,0
4/12/2018 0:00,0,10,731790,158050,0
4/13/2018 0:00,0,18,695656,170579,0
4/14/2018 0:00,0,11,464572,129062,0
4/15/2018 0:00,0,17,871638,234931,0
4/16/2018 0:00,0,2,210377,50450,0
4/17/2018 0:00,3,11,735123,240138,0.272727273
4/18/2018 0:00,0,9,907822,286686,0
4/19/2018 0:00,0,5,931731,233427,0
4/20/2018 0:00,1,11,994577,248377,0.090909091
4/21/2018 0:00,2,13,1144180,270129,0.153846154
4/22/2018 0:00,0,12,795471,176152,0
4/23/2018 0:00,0,9,453486,106651,0
4/24/2018 0:00,0,7,410230,100174,0
4/25/2018 0:00,0,4,960603,265068,0
4/26/2018 0:00,0,3,258179,48273,0
4/27/2018 0:00,0,5,929579,234911,0
4/28/2018 0:00,0,5,795085,193636,0
4/29/2018 0:00,0,8,340415,67057,0
4/30/2018 0:00,0,7,985208,218185,0
5/1/2018 0:00,0,11,580549,124337,0
5/2/2018 0:00,0,4,723668,181091,0
5/3/2018 0:00,0,10,711041,153318,0
5/4/2018 0:00,0,9,928011,210353,0
5/5/2018 0:00,1,8,306866,61787,0.125
5/7/2018 0:00,0,7,956880,235065,0
5/8/2018 0:00,0,10,502823,152202,0
5/9/2018 0:00,0,3,913703,211747,0
5/10/2018 0:00,0,9,934211,227736,0
5/11/2018 0:00,0,11,503300,114460,0
5/12/2018 0:00,0,3,390742,94021,0
5/13/2018 0:00,0,7,442350,95119,0
5/14/2018 0:00,0,10,783166,159273,0
5/15/2018 0:00,0,4,605932,137950,0
5/16/2018 0:00,0,8,694138,144874,0
5/17/2018 0:00,0,18,957963,256495,0
5/18/2018 0:00,0,9,907490,230376,0
5/19/2018 0:00,0,14,368704,96289,0
5/20/2018 0:00,0,17,892848,252309,0
5/21/2018 0:00,0,24,916322,221262,0
5/22/2018 0:00,0,2,124729,24739,0
5/23/2018 0:00,0,9,1245471,310953,0
5/24/2018 0:00,0,4,691495,176719,0
5/25/2018 0:00,0,6,1087851,332541,0
5/26/2018 0:00,1,10,841120,208353,0.1
5/27/2018 0:00,1,11,651620,162189,0.090909091
5/28/2018 0:00,2,8,806556,192338,0.25
5/29/2018 0:00,1,5,692764,174446,0.2
5/30/2018 0:00,2,8,851072,206589,0.25
5/31/2018 0:00,2,7,914956,269891,0.285714286
6/1/2018 0:00,1,8,481035,112422,0.125
6/2/2018 0:00,0,5,838882,247676,0
6/3/2018 0:00,0,6,424990,106586,0
6/4/2018 0:00,1,13,885315,199847,0.076923077
6/5/2018 0:00,0,9,1274106,292033,0
6/6/2018 0:00,1,4,1166968,312249,0.25
6/7/2018 0:00,0,3,1449116,369059,0
6/8/2018 0:00,0,1,783085,191131,0
6/9/2018 0:00,0,4,1285046,307964,0
6/11/2018 0:00,0,9,1241803,289764,0
6/12/2018 0:00,0,3,1057391,269914,0
6/13/2018 0:00,0,4,1772029,384894,0
6/14/2018 0:00,0,7,661206,150622,0
