"Date","Price","Open","High","Low","Change %"
"Jul 31, 2018","5,727.00","5,720.00","5,743.91","5,714.00","-0.03%"
"Jul 30, 2018","5,728.50","5,723.50","5,748.57","5,719.50","-0.13%"
"Jul 27, 2018","5,736.00","5,756.00","5,772.75","5,736.00","-0.22%"
"Jul 26, 2018","5,748.50","5,736.50","5,761.02","5,730.50","0.13%"
"Jul 25, 2018","5,741.00","5,736.00","5,754.00","5,724.00","0.03%"
"Jul 24, 2018","5,739.00","5,719.00","5,750.60","5,718.00","-0.19%"
"Jul 23, 2018","5,750.00","5,735.00","5,763.91","5,718.00","0.18%"
"Jul 20, 2018","5,739.47","5,739.15","5,743.18","5,737.64","0.06%"
"Jul 19, 2018","5,736.00","5,733.12","5,749.96","5,733.12","0.20%"
"Jul 18, 2018","5,724.66","5,715.54","5,727.48","5,692.54","0.04%"
"Jul 17, 2018","5,722.65","5,714.35","5,724.08","5,714.35","0.06%"
"Jul 16, 2018","5,719.31","5,722.12","5,722.46","5,718.35","0.06%"
"Jul 13, 2018","5,716.00","5,678.00","5,728.00","5,672.00","0.11%"
"Jul 12, 2018","5,710.00","5,725.00","5,747.00","5,710.00","0.02%"
"Jul 11, 2018","5,709.00","5,716.00","5,725.95","5,661.00","0.39%"
"Jul 10, 2018","5,687.00","5,730.00","5,735.02","5,667.00","-0.18%"
"Jul 09, 2018","5,697.00","5,720.00","5,731.52","5,691.05","-0.26%"
"Jul 06, 2018","5,712.00","5,705.00","5,724.26","5,699.00","-0.01%"
"Jul 05, 2018","5,712.50","5,702.50","5,729.18","5,664.47","0.19%"
"Jul 04, 2018","5,701.73","5,698.35","5,703.41","5,690.03","-0.14%"
"Jul 03, 2018","5,710.00","5,674.00","5,717.26","5,657.00","0.37%"
"Jul 02, 2018","5,689.00","5,697.00","5,725.68","5,689.00","-0.07%"
"Jun 29, 2018","5,693.00","5,680.00","5,727.77","5,680.00","-0.07%"
"Jun 28, 2018","5,697.00","5,700.00","5,732.10","5,697.00","0.15%"
"Jun 27, 2018","5,688.74","5,674.85","5,689.15","5,663.85","0.18%"
"Jun 26, 2018","5,678.67","5,693.07","5,693.07","5,675.20","-0.22%"
"Jun 25, 2018","5,691.02","5,696.57","5,696.57","5,691.02","-0.10%"
"Jun 22, 2018","5,697.00","5,706.00","5,725.22","5,683.84","0.00%"
"Jun 21, 2018","5,697.00","5,674.00","5,703.81","5,674.00","-0.01%"
"Jun 20, 2018","5,697.50","5,695.62","5,704.50","5,673.50","0.12%"
"Jun 19, 2018","5,690.50","5,688.11","5,702.50","5,671.69","0.41%"
"Jun 18, 2018","5,667.50","5,688.36","5,697.50","5,667.50","0.02%"
"Jun 15, 2018","5,666.50","5,645.50","5,680.99","5,616.50","0.11%"
"Jun 14, 2018","5,660.50","5,671.50","5,684.00","5,649.50","0.07%"
"Jun 13, 2018","5,656.50","5,670.50","5,694.04","5,656.50","-0.37%"
"Jun 12, 2018","5,677.50","5,649.50","5,689.50","5,622.50","0.66%"
"Jun 11, 2018","5,640.50","5,651.50","5,679.38","5,640.50","-0.49%"
"Jun 08, 2018","5,668.00","5,680.98","5,693.00","5,653.00","0.26%"
"Jun 07, 2018","5,653.50","5,725.50","5,725.50","5,653.50","-0.38%"
"Jun 06, 2018","5,675.12","5,684.60","5,685.11","5,643.80","-0.11%"
"Jun 05, 2018","5,681.50","5,698.50","5,720.62","5,681.50","-0.18%"
"Jun 04, 2018","5,691.50","5,730.50","5,742.00","5,691.50","-0.62%"
"Jun 01, 2018","5,727.00","5,739.00","5,744.34","5,723.00","-0.05%"
"May 31, 2018","5,730.00","5,751.00","5,758.00","5,730.00","-0.43%"
"May 30, 2018","5,754.50","5,737.50","5,754.50","5,732.50","0.23%"
"May 29, 2018","5,741.50","5,711.50","5,751.92","5,689.35","0.70%"
"May 28, 2018","5,701.51","5,680.33","5,701.51","5,679.91","0.03%"
"May 25, 2018","5,700.00","5,700.00","5,712.33","5,660.73","0.09%"
"May 24, 2018","5,695.00","5,655.00","5,705.74","5,655.00","0.52%"
"May 23, 2018","5,665.50","5,639.50","5,683.02","5,639.50","0.47%"
"May 22, 2018","5,639.00","5,622.00","5,658.00","5,622.00","0.12%"
"May 21, 2018","5,632.00","5,621.00","5,661.69","5,621.00","-0.09%"
"May 18, 2018","5,636.81","5,609.23","5,637.41","5,604.23","0.26%"
"May 17, 2018","5,622.00","5,631.00","5,631.00","5,609.65","0.03%"
"May 16, 2018","5,620.50","5,563.50","5,641.50","5,563.50","0.32%"
"May 15, 2018","5,602.50","5,573.50","5,613.50","5,573.50","0.10%"
"May 14, 2018","5,597.00","5,573.00","5,619.00","5,573.00","-0.15%"
"May 11, 2018","5,605.50","5,556.50","5,617.19","5,556.50","0.03%"
"May 10, 2018","5,603.91","5,607.78","5,607.78","5,599.33","-0.08%"
"May 09, 2018","5,608.50","5,576.50","5,625.06","5,560.50","0.41%"
"May 08, 2018","5,585.50","5,587.50","5,615.36","5,585.50","0.10%"
"May 07, 2018","5,580.00","5,577.00","5,594.76","5,572.00","-0.13%"
"May 04, 2018","5,587.00","5,532.00","5,592.72","5,532.00","0.22%"
"May 03, 2018","5,575.00","5,526.00","5,587.80","5,520.00","0.60%"
"May 02, 2018","5,542.00","5,561.00","5,582.94","5,542.00","-0.27%"
"May 01, 2018","5,557.00","5,559.00","5,568.00","5,553.00","0.21%"
"Apr 30, 2018","5,545.50","5,548.50","5,566.18","5,522.20","-0.17%"
"Apr 27, 2018","5,555.00","5,548.00","5,571.55","5,547.26","0.08%"
"Apr 26, 2018","5,550.50","5,575.38","5,581.14","5,534.50","-0.13%"
"Apr 25, 2018","5,557.50","5,522.50","5,565.32","5,522.50","0.16%"
"Apr 24, 2018","5,548.38","5,544.90","5,549.60","5,532.40","0.10%"
"Apr 23, 2018","5,543.00","5,534.00","5,562.59","5,528.00","0.20%"
"Apr 20, 2018","5,532.00","5,522.00","5,550.06","5,522.00","-0.05%"
"Apr 19, 2018","5,534.50","5,532.50","5,550.50","5,532.50","0.08%"
"Apr 18, 2018","5,530.00","5,503.00","5,545.79","5,493.00","0.20%"
"Apr 17, 2018","5,519.00","5,548.00","5,553.76","5,519.00","-0.34%"
"Apr 16, 2018","5,537.97","5,523.20","5,546.80","5,492.01","-0.06%"
"Apr 13, 2018","5,541.50","5,537.50","5,561.05","5,515.02","-0.14%"
"Apr 12, 2018","5,549.50","5,555.50","5,567.49","5,523.58","-0.04%"
"Apr 11, 2018","5,551.50","5,515.50","5,559.91","5,510.50","0.38%"
"Apr 10, 2018","5,530.50","5,548.50","5,564.58","5,515.06","-0.09%"
"Apr 09, 2018","5,535.66","5,541.86","5,550.80","5,507.36","-0.35%"
"Apr 06, 2018","5,555.00","5,562.00","5,578.56","5,555.00","-0.19%"
"Apr 05, 2018","5,565.50","5,592.50","5,592.50","5,545.50","0.22%"
"Apr 04, 2018","5,553.50","5,517.50","5,580.50","5,517.50","0.33%"
"Apr 03, 2018","5,535.00","5,548.00","5,579.00","5,535.00","-0.10%"
"Apr 02, 2018","5,540.50","5,556.13","5,556.13","5,513.22","-0.62%"
"Mar 30, 2018","5,575.00","5,586.00","5,586.00","5,545.00","0.37%"
"Mar 29, 2018","5,554.50","5,543.50","5,560.50","5,521.50","0.11%"
"Mar 28, 2018","5,548.50","5,572.99","5,572.99","5,548.50","-0.02%"
"Mar 27, 2018","5,549.50","5,577.50","5,577.50","5,549.50","-0.12%"
"Mar 26, 2018","5,556.00","5,560.66","5,566.00","5,511.78","-0.32%"
"Mar 23, 2018","5,574.00","5,571.31","5,586.00","5,567.74","0.33%"
"Mar 22, 2018","5,555.50","5,554.73","5,581.50","5,541.33","0.11%"
"Mar 21, 2018","5,549.50","5,587.50","5,587.50","5,549.50","0.30%"
"Mar 20, 2018","5,533.00","5,561.00","5,561.00","5,529.22","-0.74%"
"Mar 19, 2018","5,574.00","5,547.51","5,586.00","5,535.61","0.74%"
"Mar 16, 2018","5,533.00","5,577.00","5,577.00","5,533.00","0.14%"
"Mar 15, 2018","5,525.00","5,516.23","5,530.28","5,505.00","0.24%"
"Mar 14, 2018","5,512.00","5,521.45","5,523.23","5,481.24","0.33%"
"Mar 13, 2018","5,494.00","5,539.00","5,596.00","5,494.00","-0.43%"
"Mar 12, 2018","5,517.98","5,516.53","5,525.83","5,477.93","-0.02%"
"Mar 09, 2018","5,519.03","5,505.31","5,522.24","5,505.31","0.22%"
"Mar 08, 2018","5,506.94","5,502.36","5,507.11","5,497.06","0.15%"
"Mar 07, 2018","5,498.59","5,492.11","5,558.27","5,492.11","-1.38%"
"Mar 06, 2018","5,575.50","5,524.77","5,587.50","5,466.40","1.31%"
"Mar 05, 2018","5,503.50","5,548.13","5,581.50","5,503.50","-0.53%"
"Mar 02, 2018","5,533.00","5,577.00","5,577.00","5,533.00","-0.36%"
"Mar 01, 2018","5,553.00","5,568.10","5,571.13","5,553.00","-0.17%"
"Feb 28, 2018","5,562.50","5,563.50","5,575.06","5,557.50","-0.11%"
