"Date","Price","Open","High","Low","Change %"
"Sep 20, 2018","38.2075","39.2305","39.4005","37.5205","-2.79%"
"Sep 19, 2018","39.3050","39.7730","39.8130","39.2330","-1.15%"
"Sep 18, 2018","39.7640","39.5460","39.8440","38.2440","0.57%"
"Sep 17, 2018","39.5380","39.7720","39.8860","39.4860","-1.02%"
"Sep 14, 2018","39.9450","39.7690","40.0890","38.4090","1.19%"
"Sep 13, 2018","39.4750","38.5370","40.1250","38.0250","2.98%"
"Sep 12, 2018","38.3330","38.0870","38.3710","37.5410","1.01%"
"Sep 11, 2018","37.9500","37.3210","38.0000","36.6100","1.31%"
"Sep 10, 2018","37.4575","37.0705","37.6365","36.6165","0.99%"
"Sep 07, 2018","37.0910","37.5400","37.5400","36.6670","-0.87%"
"Sep 06, 2018","37.4175","38.0445","38.4445","37.0445","-3.11%"
"Sep 05, 2018","38.6200","39.0980","39.1960","38.1960","-0.92%"
"Sep 04, 2018","38.9800","38.0780","39.4280","38.0780","2.38%"
"Sep 03, 2018","38.0750","36.8250","38.7250","36.8250","3.18%"
"Aug 31, 2018","36.9000","38.0620","39.1000","36.0700","-4.73%"
"Aug 30, 2018","38.7330","34.6690","42.2410","34.5410","13.92%"
"Aug 29, 2018","34.0005","31.5365","34.0025","31.3725","8.04%"
"Aug 28, 2018","31.4700","30.9460","31.6710","30.8560","1.67%"
"Aug 27, 2018","30.9545","30.7415","31.0415","30.7415","0.37%"
"Aug 24, 2018","30.8400","30.4300","30.9500","30.2300","1.23%"
"Aug 23, 2018","30.4650","30.2160","30.4650","29.9850","0.77%"
"Aug 22, 2018","30.2330","29.9960","30.2820","29.9520","0.82%"
"Aug 21, 2018","29.9860","29.8510","30.0210","29.8210","0.43%"
"Aug 20, 2018","29.8565","29.8565","29.8865","29.8565","-0.01%"
"Aug 17, 2018","29.8595","29.6945","29.8995","29.6495","0.46%"
"Aug 16, 2018","29.7220","29.7770","29.9730","29.5270","-0.51%"
"Aug 15, 2018","29.8750","29.7600","30.6250","29.5450","0.40%"
"Aug 14, 2018","29.7570","30.0120","30.0220","29.0920","-0.60%"
"Aug 13, 2018","29.9365","29.2175","30.3265","29.1975","2.42%"
"Aug 10, 2018","29.2300","28.0720","29.3650","27.9800","4.13%"
"Aug 09, 2018","28.0700","27.6060","28.1120","27.5300","1.62%"
"Aug 08, 2018","27.6215","27.3790","27.6755","27.2455","0.85%"
"Aug 07, 2018","27.3885","27.3245","27.4245","26.9945","0.22%"
"Aug 06, 2018","27.3280","27.2930","27.5080","27.1980","0.14%"
"Aug 03, 2018","27.2905","27.4345","27.4555","27.2855","-0.55%"
"Aug 02, 2018","27.4425","27.4635","27.7335","27.4335","-0.21%"
"Aug 01, 2018","27.5005","27.1945","27.7595","27.1945","0.29%"
"Jul 31, 2018","27.4210","27.2580","27.4470","27.2020","0.63%"
"Jul 30, 2018","27.2500","27.3190","27.4140","27.1940","-0.26%"
"Jul 27, 2018","27.3210","27.3980","27.4460","27.2910","-0.27%"
"Jul 26, 2018","27.3960","27.3660","27.5040","27.2990","0.08%"
"Jul 25, 2018","27.3740","27.4840","27.5020","27.2580","-0.38%"
"Jul 24, 2018","27.4790","27.6040","27.6470","27.3520","-0.48%"
"Jul 23, 2018","27.6115","27.6045","27.7145","27.4545","0.04%"
"Jul 20, 2018","27.6000","27.7500","27.7800","27.5500","-0.47%"
"Jul 19, 2018","27.7300","27.5810","27.7600","27.5800","0.38%"
